update_id,tx_type,effective_at,fetched_at,request_body_kb,response_body_kb,request_headers_kb,response_headers_kb,base_kb,extra_kb,total_kb
1220c0dacd68c0b3c20cbf4cd53ab00ab0d4fc000480204eaa7d47f008c65d264624,marker,2026-05-07T23:28:08.794149Z,2026-05-08T01:28:00.680Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12202f39ca582dd48851e8bae08f1beefc14b70db87f9b508ffc20247b29c8222a7d,marker,2026-05-07T23:33:08.788414Z,2026-05-08T01:28:01.011Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220e3b732247f77050c5c8600a6ae278ef1fa6d6d9836e809d7c0e31588fb0b3dcc,marker,2026-05-07T23:38:08.771938Z,2026-05-08T01:28:01.299Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12209725d6de451aea1ac8eb27cba9e983301dba8f66ed94f89017d4adeb3b1ee98e,marker,2026-05-07T23:43:08.841354Z,2026-05-08T01:28:01.619Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220b5f7e334635c73128ea47f619a00aabd8d2750df92eceb66126712906ca10027,marker,2026-05-07T23:48:08.809108Z,2026-05-08T01:28:01.924Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220b61ded3ef27186c3b80c475f1106865a8b8111a54c56d047383ad2f942dbd77f,marker,2026-05-07T23:53:11.318149Z,2026-05-08T01:28:02.257Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220ac8c8ece232ddf982c2f1fac3ab36c1bb4a9ec678cbcc50b165d4061e2bb8951,marker,2026-05-07T23:58:11.138726Z,2026-05-08T01:28:02.538Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220ec1d1f4fe57d52793d255d9ebeb212de947ab38044712c5185eb406bfb7483e1,marker,2026-05-08T00:03:11.095494Z,2026-05-08T01:28:03.021Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220cdc35f39e5c80cf55bdfd6649e1f0ab35df7e99e74769ba4cc7408592a4ada4f,marker,2026-05-08T00:08:13.832670Z,2026-05-08T01:28:03.440Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12202599bf3d4d6af92ba25bcbb6d78f958258e21c2764b98be1e6b15e55f12ae99e,marker,2026-05-08T00:13:13.798256Z,2026-05-08T01:28:03.793Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220f7f76157a9c73f027650e8d7098b74c3a3159922a06003295bff275d2d505276,marker,2026-05-08T00:18:16.543810Z,2026-05-08T01:28:04.120Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220e0e86deae44107741742b03f63fbad937e7157d75c1830f2f993a6e18571633f,marker,2026-05-08T00:23:16.524034Z,2026-05-08T01:28:04.472Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12205574ed8e93c21d7c934593296ac507210ebdeeca72ec86c3d0b3877759c717db,marker,2026-05-08T00:28:19.193006Z,2026-05-08T01:28:04.759Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220a314516125b7fb5971abe054656b3b14279e8fe84d68317ba1a369015eb6336c,marker,2026-05-08T00:33:19.187641Z,2026-05-08T01:28:05.080Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220486aa69db3a69404a0a79c0d325b02c3cf79a54d16cc2f3192744157e403c9dd,marker,2026-05-08T00:38:23.037763Z,2026-05-08T01:28:05.408Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122040f55cd97d072e60839a787ff68735e629b17b763a53501e7df2004acba76503,marker,2026-05-08T00:43:21.795289Z,2026-05-08T01:28:05.728Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220b5b885ac2153581c0cca1ce908b92c61da6f35b36eaa393d4ca175062c46dcf6,marker,2026-05-08T00:48:21.843235Z,2026-05-08T01:28:06.022Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12209218ad83a2e96db54fcd8f0040c84689b5c19fd8c2fa579ba29066748390c52d,marker,2026-05-08T00:53:21.810239Z,2026-05-08T01:28:06.334Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122087dc824df7ddedcedb8f0606990f7d909691b7e069a813e6b908e819ceb51b11,marker,2026-05-08T00:58:24.035203Z,2026-05-08T01:28:06.662Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122040fcafca7fb1191424f22dd1a48eef483fa4ae9ba0cdc9c40b2fbe45e0df5ac3,marker,2026-05-08T01:03:24.034562Z,2026-05-08T01:28:06.980Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220217c5aa09ac547e74130a7a6770b505001c69cfbaa04f71493bad72a95ea10dd,marker,2026-05-08T01:08:26.962850Z,2026-05-08T01:28:07.305Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220f55aa65e6bae7d75d5e9678af6017ea247594a026ef371003423fbc56a093bba,marker,2026-05-08T01:13:27.220045Z,2026-05-08T01:28:07.631Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220099d0bb9c66bca4011b8e66589649404a8b8c8f15f321a4c3547e9a37b97e2b4,marker,2026-05-08T01:18:30.313057Z,2026-05-08T01:28:07.922Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122084663ce217e686092008d332ce011dabe79ce07441c0db887111f171cd26033f,marker,2026-05-08T01:23:30.330873Z,2026-05-08T01:28:08.243Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
